order_id,date,category,brand,unit_price,quantity,discount_pct,revenue,profit,profit_margin_pct,city,channel,payment_method,customer_segment,returned,customer_rating
ORD1275,2022-01-01,Electronics,Xiaomi,77237.84,2,20,105043.46,24370.08,23.2,Ahmedabad,Mobile App,Credit Card,Regular,0,3.9
ORD1320,2022-01-01,Clothing,Zara,4985.04,3,5,12076.26,2258.26,18.7,Lucknow,In-Store,UPI,New,0,4.3
ORD2016,2022-01-01,Grocery,Britannia,584.5,2,0,993.65,93.4,9.4,Chennai,Online,EMI,New,0,
ORD5626,2022-01-01,Sports,Puma,2678.45,3,0,6830.05,771.8,11.3,Chennai,Online,UPI,New,0,3.4
ORD4009,2022-01-01,Home & Kitchen,Prestige,4569.96,1,0,3884.47,1037.15,26.7,Kolkata,Mobile App,UPI,VIP,0,
ORD4975,2022-01-02,Electronics,LG,75414.64,1,5,60897.32,15711.51,25.8,Ahmedabad,Online,UPI,Premium,0,2.9
ORD5729,2022-01-02,Grocery,ITC,1131.28,1,5,913.51,142.51,15.6,Ahmedabad,Mobile App,UPI,Regular,0,4.6
ORD3711,2022-01-02,Home & Kitchen,Prestige,11796.45,2,5,19051.27,4915.23,25.8,Pune,Online,UPI,New,0,3.7
ORD1913,2022-01-02,Grocery,Britannia,714.84,4,0,2430.46,624.63,25.7,Pune,Mobile App,Debit Card,Regular,0,3.9
ORD2229,2022-01-03,Clothing,Adidas,3102.15,1,10,2373.14,507.85,21.4,Mumbai,Online,UPI,Regular,0,
ORD1449,2022-01-03,Beauty,Lakme,1216.15,2,10,1860.71,297.71,16.0,Hyderabad,Online,Debit Card,Premium,0,4.1
ORD2880,2022-01-03,Home & Kitchen,Bosch,7252.01,2,10,11095.58,3073.48,27.7,Pune,Mobile App,UPI,Regular,0,2.9
ORD2826,2022-01-03,Sports,Decathlon,267.24,4,0,908.62,84.5,9.3,Bangalore,Online,UPI,Regular,0,4.7
ORD5011,2022-01-03,Electronics,LG,79804.04,5,0,339167.17,65120.1,19.2,Pune,Online,Cash,Regular,0,3.0
ORD1060,2022-01-03,Beauty,Dove,1439.73,1,10,1101.39,273.14,24.8,Ahmedabad,Online,Debit Card,Regular,0,3.6
ORD5064,2022-01-04,Home & Kitchen,Philips,11648.37,1,15,8415.95,2432.21,28.9,Delhi,Online,Credit Card,Regular,0,4.9
ORD3816,2022-01-04,Sports,Nike,4172.52,1,5,3369.31,778.31,23.1,Kolkata,In-Store,UPI,Premium,0,4.1
ORD5379,2022-01-04,Beauty,L'Oreal,2154.36,2,25,2746.81,675.72,24.6,Delhi,Mobile App,Cash,Regular,0,4.1
ORD1853,2022-01-04,Sports,Yonex,6063.14,4,10,18553.21,2170.73,11.7,Chennai,In-Store,UPI,Regular,0,
ORD2427,2022-01-05,Electronics,Samsung,31087.66,1,0,26424.51,4518.59,17.1,Jaipur,In-Store,Cash,Regular,0,2.9
ORD2733,2022-01-05,Clothing,Nike,4163.25,2,0,7077.52,2109.1,29.8,Delhi,In-Store,UPI,New,0,2.6
ORD4117,2022-01-05,Home & Kitchen,Usha,1477.98,5,5,5967.34,1312.81,22.0,Pune,Online,UPI,Premium,0,3.7
ORD1831,2022-01-06,Clothing,H&M,729.29,3,0,1859.69,232.46,12.5,Mumbai,In-Store,Cash,Regular,0,4.2
ORD2235,2022-01-06,Electronics,Samsung,46620.61,3,15,101050.17,22129.99,21.9,Mumbai,In-Store,Cash,New,0,
ORD2263,2022-01-06,Home & Kitchen,Usha,16749.89,1,0,14237.41,2847.48,20.0,Kolkata,Online,EMI,New,0,4.8
ORD3626,2022-01-06,Sports,Puma,4114.04,1,0,3496.93,1157.48,33.1,Ahmedabad,In-Store,Debit Card,Premium,0,2.6
ORD4908,2022-01-06,Beauty,Lakme,1733.28,1,10,1325.96,201.55,15.2,Chennai,In-Store,UPI,Premium,0,
ORD1745,2022-01-07,Electronics,Apple,42743.01,2,5,69029.96,11182.85,16.2,Chennai,In-Store,Debit Card,Regular,0,4.9
ORD2118,2022-01-07,Clothing,Zara,1838.67,2,10,2813.17,655.47,23.3,Mumbai,Online,UPI,New,0,4.2
ORD2243,2022-01-07,Grocery,Nestle,1008.21,2,5,1628.26,205.16,12.6,Hyderabad,Online,Credit Card,New,0,4.6
ORD2362,2022-01-07,Electronics,Sony,73327.01,2,0,124655.92,35651.59,28.6,Pune,Mobile App,Cash,VIP,0,3.4
ORD1840,2022-01-07,Grocery,ITC,849.63,1,5,686.08,209.94,30.6,Delhi,Online,Credit Card,Regular,0,3.0
ORD5530,2022-01-08,Beauty,Lakme,1377.26,2,20,1873.07,329.66,17.6,Pune,Mobile App,Credit Card,Regular,0,4.1
ORD2293,2022-01-08,Clothing,Zara,2448.11,3,20,4994.14,404.53,8.1,Hyderabad,Mobile App,EMI,Premium,0,
ORD3738,2022-01-08,Electronics,Apple,31036.73,1,0,26381.22,8626.66,32.7,Jaipur,In-Store,Credit Card,Regular,0,3.3
ORD1967,2022-01-08,Sports,Decathlon,6546.91,3,0,16694.62,2353.94,14.1,Mumbai,Online,UPI,Premium,0,4.1
ORD2684,2022-01-08,Sports,Adidas,1402.49,1,0,1192.12,365.98,30.7,Mumbai,Online,UPI,Regular,0,
ORD3580,2022-01-09,Clothing,Nike,4121.99,2,0,7007.38,2046.15,29.2,Lucknow,In-Store,Debit Card,Premium,0,
ORD4068,2022-01-09,Beauty,L'Oreal,624.6,2,5,1008.73,264.29,26.2,Lucknow,Online,Cash,Premium,0,
